ISSN,Título,Área de Avaliação,Classificação
1540-7993,IEEE SECURITY & PRIVACY,CIÊNCIA DA COMPUTAÇÃO,A2
1530-437X,IEEE SENSORS JOURNAL,CIÊNCIA DA COMPUTAÇÃO,A2
1932-8184,IEEE SYSTEMS JOURNAL,CIÊNCIA DA COMPUTAÇÃO,A2
1549-7747,"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. II, EXPRESS BRIEFS",CIÊNCIA DA COMPUTAÇÃO,A2
0018-9359,IEEE TRANSACTIONS ON EDUCATION,CIÊNCIA DA COMPUTAÇÃO,A2
0018-9391,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,CIÊNCIA DA COMPUTAÇÃO,A2
1556-6013,IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,CIÊNCIA DA COMPUTAÇÃO,A2
1536-125X,IEEE TRANSACTIONS ON NANOTECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,A2
0018-9529,IEEE TRANSACTIONS ON RELIABILITY,CIÊNCIA DA COMPUTAÇÃO,A2
1545-5963,IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0272-4979,IMA JOURNAL OF NUMERICAL ANALYSIS,CIÊNCIA DA COMPUTAÇÃO,A2
0890-5401,INFORMATION AND COMPUTATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0950-5849,INFORMATION AND SOFTWARE TECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,A2
1369-118X,"INFORMATION, COMMUNICATION & SOCIETY",CIÊNCIA DA COMPUTAÇÃO,A2
0020-0190,INFORMATION PROCESSING LETTERS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0306-4379,INFORMATION SYSTEMS (OXFORD),CIÊNCIA DA COMPUTAÇÃO,A2
1091-9856,INFORMS JOURNAL ON COMPUTING,CIÊNCIA DA COMPUTAÇÃO,A2
